rating_id,company_id,analyst_firm,rating,target_price_usd,rating_date
21041,34,SVB Leerink,Market Perform,,2021-05-05
21042,34,SVB Leerink,Market Perform,,2021-03-26
21043,34,DZ Bank,Buy,,2021-02-04
21044,34,SVB Leerink,Market Perform,,2021-02-03
21045,34,Mizuho,Buy,,2021-02-03
21046,34,Morgan Stanley,Neutral,,2021-01-29
21047,34,RBC Capital,Market Perform,,2020-12-16
21048,34,Bernstein,Market Perform,,2020-11-10
21049,34,SVB Leerink,Market Perform,,2020-10-28
21050,34,Truist Securities,Buy,,2020-10-23
21051,34,Atlantic Equities,Neutral,,2020-10-12
21052,34,Berenberg,Hold,,2020-09-29
21053,34,Morgan Stanley,Neutral,,2020-07-30
21054,34,UBS,Neutral,,2020-07-29
21055,34,SVB Leerink,Market Perform,,2020-07-29
21056,34,SVB Leerink,Market Perform,,2020-06-16
21057,34,JP Morgan,Neutral,,2020-06-01
21058,34,Barclays,Neutral,,2020-04-29
21059,34,Morgan Stanley,Neutral,,2020-04-02
21060,34,RBC Capital,Outperform,,2020-03-27
21061,34,Barclays,Neutral,,2020-02-27
21062,34,Mizuho,Buy,,2020-02-06
21063,34,RBC Capital,Outperform,,2020-01-07
21064,34,DZ Bank,Hold,,2019-08-28
21065,34,Morgan Stanley,Neutral,,2019-08-27
21066,34,B of A Securities,Neutral,,2019-07-30
21067,34,Morgan Stanley,Neutral,,2019-07-30
21068,34,B of A Securities,Buy,,2019-04-01
21069,34,Argus Research,Outperform,,2019-01-31
21070,34,Credit Suisse,Outperform,,2019-01-31
21071,34,UBS,Neutral,,2019-01-23
21072,34,JP Morgan,Neutral,,2018-12-11
21073,34,Citigroup,Sell,,2018-11-06
21074,34,BMO Capital,Market Perform,,2018-11-01
21075,34,Credit Suisse,Neutral,,2018-10-31
21076,34,Morgan Stanley,Overweight,,2018-08-23
21077,34,Barclays,Neutral,,2018-08-23
21078,34,B of A Securities,Buy,,2018-08-01
21079,34,BMO Capital,Outperform,,2018-08-01
21080,34,Credit Suisse,Neutral,,2018-08-01
21081,34,BMO Capital,Outperform,,2018-05-02
21082,34,Barclays,Neutral,,2018-04-05
21083,34,Barclays,Overweight,,2018-01-31
21084,34,Credit Suisse,Neutral,,2018-01-31
21085,34,Morgan Stanley,Overweight,,2018-01-31
21086,34,Leerink Swann,Market Perform,,2018-01-31
21087,34,BMO Capital,Outperform,,2017-10-19
21088,34,Morgan Stanley,Overweight,,2017-09-20
21089,34,BMO Capital,Outperform,,2017-08-02
21090,34,Credit Suisse,Neutral,,2017-07-20
21091,34,Citigroup,Sell,,2017-05-16
21092,34,Guggenheim,Neutral,,2016-12-02
21093,34,Barclays,Overweight,,2016-11-29
21094,34,Argus Research,Hold,,2016-11-02
21095,34,BMO Capital,Market Perform,,2016-11-02
21096,34,Jefferies,Hold,,2016-10-13
